MRN,Division,Line Code,Station Name,Boro,ADA Access (YES/NO/Partial),Description of ADA Access ,1 Control Area (YES/NO),1 Control Area per Platform (NB/SB/BOTH),Control Area Closed ,Stairs Closed in Closed CA,Closed Stand Alone Stair ,1 Flight Closed,2 Flights Closed - Number denotes each stair in flight,Total Closed Street Stairs ,Other Stairs, Plat Stairs Closed (#),Passageway/Underpass/Overpass Closed,Easement Closed,Street Stair and Control Area Closures,Notes ,,,,
32,BMT,4AV,36th St,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs bunched together,,,,
33,BMT,4AV,45th St,BK,No ,,YES,,1,1,,,,1,,1,,,2,"auxiliary s/b plat plat stair, control area and street stair south of 46 St closed; s/b plat has only 1 plat stair",,,,
34,BMT,4AV,53rd St,BK,,,,NB,,,,,,0,,,,,0,52 St s/b plat street stair HXT only;  all platform stairs come to common landing in mezzanine,,,,
35,BMT,4AV,59th St,BK,,,,,,,,,,0,,,,,0,,,,,
36,BMT,4AV,Bay Ridge Av,BK,,,,NB,,,,,,0,,,,,0,68 St s/b plat street stair HXT only;  all platform stairs come to common landing in mezzanine,,,,
37,BMT,4AV,77th St,BK,,,,NB,,,,,,0,,,,,0,76 St s/b plat street stair HXT only;  all platform stairs come to common landing in mezzanine,,,,
38,BMT,4AV,86th St,BK,,,,,,,,,,0,,,,,0,,,,,
39,BMT,4AV,95th St,BK,,,,,,,,,,0,,,,,0,,,,,
40,BMT,BRT,Atlantic Av-Barclays Ctr,BK,,,,,,,,,,0,,,,1,0,Dime Savings Bank bldg easement closed,,,,
41,BMT,BRT,7th Av,BK,No ,,Yes,,1,2,,,,2,,4,,,3,"southern B5, platform stairs and street stairs closed",,,,
42,BMT,BRT,Prospect Park,BK,,,,,,,,,,0,,,,,0,,,,,
43,BMT,BRT,Parkside Av,BK,,,,NB,,,,,,0,,,,,0,n/b platform stairs come to common landing in single mezzanine,,,,
44,BMT,BRT,Church Av,BK,Yes,,,,1,1,,,,1,,,,,2,Old exit house at SB Plat,,,,
45,BMT,BRT,Beverly Rd,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
46,BMT,BRT,Cortelyou Rd,BK,,,Yes,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
47,BMT,BRT,Newkirk Av,BK,,,YES,,,,,,,0,,,,,0,all platform stairs come to common landing in mezzanine,,,,
48,BMT,BRT,Av H,BK,,,,NB,,,,,,0,,,,,0,single plat stair to N/B platform,,,,
49,BMT,BRT,Av J,BK,,,,,,,,,,0,,,,,0,,,,,
50,BMT,BRT,Av M,BK,,,,,,,,,,0,,,,,0,,,,,
51,BMT,BRT,Kings Highway,BK,,,,,,,,,,0,,,,,0,,,,,
52,BMT,BRT,Av U,BK,No ,,Yes,,1,1,,,,1,,,,,2,"southern auxiliary stair off S/B plat closed, emergency exit only",,,,
53,BMT,BRT,Neck Rd,BK,,,Yes,,,,,,,0,,,,,0,1 stair off each platform; long control line with 3 exit locations but only 1 for entry,,,,
54,BMT,BRT,Sheepshead Bay,BK,,,,,,,,,,0,,,,,0,,,,,
55,BMT,BRT,Brighton Beach,BK,,,,,,,,,,0,,,,,0,,,,,
56,BMT,BRT,Ocean Parkway,BK,,,,,,,,,,0,,,,,0,,,,,
57,BMT,CIT,West 8th St,BK,,,,,,,,,,0,,,,,0,,,,,
58,BMT,CIT,Stillwell Av,BK,,,,,,,,,,0,,,,,0,,,,,
59,BMT,WST,9th Av,BK,,,Yes,,,,,,,0,,,,,0,not included:  closed platform stairs to lower platforms;  all platform stairs come to common landing in single mezzanine,,,,
